Usecase Specific,,,,,,
System Id,Sys1,,,,,
UC Id,UC-5,,,,,
desc,UC-5's desc,,,,,
Use Actor,Actor-1,,,,,
Related Rq,"RQ-8, RQ-14, RQ-18, RQ-49",,,,,
Pre-Condition,UC-5's pre condition.,,,,,
Post-Condition,UC-5's post Condition,,,,,
,,,,,,
Scenario,,,,,,
Sequence Name,context,Pre-Condition,Post-Condition,Host,Client,
flow1(),1. Actor-1 use flow1() on Sys1,,,,Actor-1,
flow2(),2. Sys1 do Flow2.,,,,,
flow3(),3. Sys1 do Flow3.,,,,,
flow4(),4. Sys1 do Flow4.,,,,,
flow5(),5. Sys1 do Flow5.,,,,,
flow6(),6. Sys1 do Flow6.,,,,,
flow7(),7. Sys1 do Flow7.,,,,,
